Nr. Crt;Categorie;Compania;Brand;Denumirea promotiei;Data Start;Data Sfarsit;Durata zile;Durata luni;Slogan;Mecanism;Tip promotie;Validare; Valoare Premii ;Premii;Masina;Excursie;Instant;Zilnice;Saptamanale/ Lunare;La sfarsit de campanie;SMS;Website;APP;Facebook;Whatsapp;Clip YOUTUBE;Instagram;;
1;Food;SC ORBICO SRL;Pringles;“CÂ?TIG? LA ÎNCEPUT DE AN ?I URC? LA VOLAN!”;01.11.2020;31.12.2020;61;2;“CÂ?TIG? LA ÎNCEPUT DE AN ?I URC? LA VOLAN!”;"Participantul trebuie sa achizi?ioneze minimum doua Produse Pringles 165 gr in perioada Campaniei  si sa poat? face dovada de achizi?ie; Participantul se va înscrie la Campanie exclusiv prin transmiterea unuia sau mai multor numere de bon fiscal cu respectarea condi?iilor solicitate";Buy & send;Formular contact;191.588;9 perechi de Role electrice Segway Drift W1, 9 camere video sport Insta 360GO, 61 Boxe portabile JBL, 1 Skoda Karoq+1 Skoda Kamiq;Da;Nu;Nu;Nu;Da;Da;Da;Da;Nu;Nu;Nu;Nu;Nu;;
2;Food;BONDUELLE CENTRAL EUROPE KFT;Bonduelle;”Câ?tig? premii Bonduelle în semn de apreciere”;19.10.2020;31.12.2020;94;3;”Câ?tig? premii Bonduelle în semn de apreciere”;"Participantul trebuie s? achizi?ioneze minimum 2 produse participante, pe acela?i bon fiscal, în perioada Campaniei ?i s? poat? face dovada de achizi?ie; SMS - prin expedierea unui SMS la 1814 (num?r cu tarif normal, în re?elele Orange, Vodafone, Telekom ?i DIGI con?inând num?rul bonului fiscal ce atest? achizi?ia a minimum 2 Produse Participante sec?iunea 4, în perioada de desf??urare a Campaniei. Online - prin completarea unui formular de înscriere disponibil la accesarea website-ului www.bonduelle.ro/semnedeapreciere.";Buy & send;Bon fiscal + Formular contact;32898.99;Aspirator robot ROWENTA Explorer Allergy Serie 60 RR7447WH, Card cadou IKEA, Side by Side LG Door in Door GSX961NSAZ, ;Nu;Nu;Nu;Nu;Da;Nu;Da;Da;Nu;Nu;Nu;Nu;Nu;;
3;Drinks;URSUS;Ursus Breweries;”Bere buna ai cumparat, un Dokker ai castigat!”;01.10.2020;30.11.2020;61;2;”Bere buna ai cumparat, un Dokker ai castigat!”;Participantul trebuie s? achizi?ioneze produse din gama Ciucas, Peroni, Timisoareana, Ursus, in valoare minima de 200 RON fara TVA, sa inscrie nr documentului fiscal pe website ;Buy & send;Formular contact;123.071;2 Dacia Dokker;Da;Nu;Nu;Nu;Da;Nu;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
4;Cleaning;Procter & Gamble Distribution SRL;MTB;SPUNE-NE P?REREA TA ?I CÂ?TIG? PREMII PENTRU O VIA?? SMART;01.10.2020;01.12.2020;61;3;SPUNE-NE P?REREA TA ?I CÂ?TIG? PREMII PENTRU O VIA?? SMART;Înscrie-te în concurs prin intermediul formularului de mai jos ?i las?-ne un review la cel pu?in un produs P&G marca Always, Ariel, Discreet, Fairy, Gillette, Gillette Venus, Head&Shoulders, Lenor, Mr. Proper, Old Spice, Oral-B sau Pantene.;Social contest;Formular contact;4500;3 aspiratoare inteligente, 10 vouchere Emag de 300 de lei;Nu;Nu;Nu;Nu;Nu;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
5;Cleaning;Procter & Gamble Distribution SRL;Always;„Accepta provocarea zero de la Always Platinum”;01.10.2020;31.12.2020;91;3;„Accepta provocarea zero de la Always Platinum”;Sa se inregistreze sau autentifice pe Site-ul Campaniei www.youtil.ro, completand in mod corect si complet formularul de inregistrare pe site;Buy & send;Formular contact;11,419; Telefon mobil Galaxy Z Flip, Voucher H&M in valoare de 300 RON;Nu;Nu;Nu;Nu;Nu;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
6;Food;Ferrero;Kinder Mini;Cand minifericirea e impartita cu o persoana indragita;01.10.2020;15.11.2020;45;2;Cand minifericirea e impartita cu o persoana indragita;Sa achizitioneze produse participante de minim 15 RON pe acela?i bon fiscal, s? completeze formularul cu datele corecte);Buy & send;Formular contact;1,319,174;Autoturism marca Mini Cooper tip Hatch, Camera Foto Instant Polaroid;Da;Nu;Nu;Nu;Nu;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
7;Cleaning;SC New View SRL;Pantene;Un p?r frumos începe de acas?;30.09.2020;20.10.2020;20;2;Un p?r frumos începe de acas?;S? achizi?ioneze produse participante din magazinele Auchan ?i s? completeze un formular pe website;Buy & send;Formular contact;1.951;Usc?tor de p?r Braun, oglind? cu LED, suport de cad?;Nu;Nu;Nu;Nu;Da;Nu;Da;Da;Nu;Nu;Nu;Nu;Nu;;
8;Food;S.C. NUTRITIVA S.R.L.;Nutrivita;“Fã-?i plinul de energie ?i câ?tigã super premii!”;29.09.2020;29.11.2020;62;3;“Fã-?i plinul de energie ?i câ?tigã super premii!”;"Participantul trebuie sa achizitioneze minimum un Produs apartinand marcii Bjorg, valoarea produselor de pe fiecare bon sã fie de minimum 10lei si sa poata face dovada de achizitie; Participantul se va inscrie la Campanie pe website-ul campaniei, www.nutrivita.ro/premiibjorg prin transmiterea unuia sau mai multor numere de bon fiscal sau de factura fiscala care atesta
achizitionarea produselor, impreuna cu numele si numarul de telefon, in oricare dintre cele doua modalitati de participare: 1. SMS - prin expedierea unui SMS la 1751 (numar cu tarif normal, in retelele Orange, Vodafone,
Telekom si Digi) continand codul BJORG urmat de numarul bonului fiscal sau numarul facturii fiscale
care atesta achizitia Produselor Participante; 2. ONLINE - prin completarea formularului de inscriere disponibil pe adresa de web:
http://www.nutrivita.ro/premiibjorg .";Buy & send;Bon fiscal + Formular contact;8000;Televizor LED Samsung, Boxa portabila JBL, Hanorac albastru BJORG, Pachet cu produse BJORG pentru Mic Dejun BIO ;Nu;Nu;Nu;Nu;Nu;Da;Da;Da;Nu;Nu;Nu;Nu;Nu;;
9;Jelewery;SC Ladybug Investment SRL;BB-Shop;Iube?te-?i frumuse?ea ?i câ?tig? o ma?in?!;01.10.2020;30.11.2020;61;2;Iube?te-?i frumuse?ea ?i câ?tig? o ma?in?!;Participantul trebuie sa achizitioneze in perioada campaniei produse de minim 100 RON marca Soroci, Thank you Farmer, Nourish;Buy & send;Formular contact;11.942;Ma?in? Clio;Da;Nu;Nu;Nu;Nu;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
10;Drinks;S.C. “B.D.G. IMPORT” S.R.L;Jägermeister;”Jägermeister - vanatoarea”;05.10.2020;16.11.2020;37;2;”Jägermeister - vanatoarea”;Participan?ii trebuie s? achizi?ioneze un produs participant, ?i s? trimit? prin SMS la nr. 1757, numarul bonului de casa, si data bonului care fac dovada achizi?iei produsului participant ;Buy & send;Bon fiscal;36200;"Consola PS 5 si ochelari VR Sony, Tap machine Jägermeister, HOMEPARTY KIT, format din barmat, pourer,
 2 pahare shot si o sticla Jägermeister 0.7l";Nu;Nu;Nu;Nu;Da;Nu;Da;Da;Nu;Nu;Nu;Nu;Nu;;
11;Retail;MEGA IMAGE S.R.L;Mega Image;SARBATORIM IMPREUNA, CU PREMII!;15.10.2020;11.11.2020;27;2;SARBATORIM IMPREUNA, CU PREMII!;"Participantul trebuie sa achizitioneze orice produse comercializate in reteaua de
magazine Mega Image si Shop&Go, inclusiv online, pe mega-image.ro in valoare de
minimum 25 RON, in perioada Campaniei";Buy & send;Bon fiscal + Formular contact;35000;"Premiu in bani in valoare de 250.000 lei, Voucher de cumparaturi mega-image.ro
in valoare de 100 de lei";Nu;Nu;Nu;Nu;Da;Da;Da;Da;Nu;Nu;Nu;Nu;Nu;;
12;Food;Danone-Produc?ie ?i Distribu?ie de produse alimentare SRL;Activia;Hr?ne?te-?i echilibrul din  interior;12.10.2020;06.12.2020;57;3;Hr?ne?te-?i echilibrul din  interior;S? achizi?ioneze produse Activia ?i s? înscrie documentul fiscal pe website;Buy & send;Formular contact;18.705;Plan de nutri?ie personalizat, premii garantate;Nu;Nu;Da;Nu;Da;Nu;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
13;Electronics;BSH ELECTROCASNICE S.R.L;Bosch;"""Lasa-ne o recenzie si poti castiga unul dintre cele 5 produse Bosch""";20.10.2020;20.12.2020;61;3;"""Lasa-ne o recenzie si poti castiga unul dintre cele 5 produse Bosch""";Participantul sa acceseze website-ul www.bosch-home.ro in perioada 20 Octombrie - 20 Decembrie 2020, si sa plaseze o recenzie pe pagina produsului detinut sau folosit.;Social contest;Formular contact;2879;Aspirator fara sac Bosch BGC05A322, Robot de bucatarie Bosch MultiTalent3 MCM3200W, Blender Bosch MaxoMixx cu vacuum MS8CM61V1, Masina de tocat carne Bosch SmartPower MFW2517W, Gratar de masa Bosch TCG4215;Nu;Nu;Nu;Nu;Nu;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
14;Food;S.C. HEIDI CHOCOLAT S.A;Heidi;„Câ?tig? premii pe gustul t?u în Auchan!”;07.10.2020;30.11.2020;54;2;„Câ?tig? premii pe gustul t?u în Auchan!”;S? achizi?ioneze oricare minimum un Produs Participant, S? se înscrie în Campanie pe website-ul www.heidi-chocolate.com, prin completarea câmpurilor formularului de participare online;Buy & send;Formular contact;8,553;Br??ar? Elegant? Smart 10 DOUGU H1, Br??ar? fitness E-BODA Fitness 400, Br??ar? fitness Fitbit Inspire HR, Lilac;Nu;Nu;Nu;Nu;Nu;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
15;Food;NESTLÉ ROMÂNIA S.R.L.;Nestle;"“Nestle WIN A COW""";01.02.2020;31.12.2020;334;10;"“Nestle WIN A COW""";"Achizi?ionarea a  cel pu?in un produs Participant, în perioada când produsele promo?ionale sunt comercializate în magazine, respectiv în perioada estimat? 16 ianuarie 2020 – 31 decembrie 2020; Accesarea WEBSITE-ului Campaniei; Ac?ionarea butonului ”PARTICIP?” din ecranul principal al website-ului Campaniei.  Accesarea jocului ?i participarea în cadrul acestuia prin identificarea, în maximum 25 de secunde";Buy & send;Formular contact;12,472;PACHET (RUCSAC + 24 PUNGI DE CEREALE + 48 LITRI DE LAPTE UHT);Nu;Nu;Nu;Da;da;Da;Nu;Da;Da;Nu;Nu;Nu;Nu;;
16;Entertainment;RADIO XXI S.R.L;Virgin Radio;„CASTIG PENTRU TINE”;06.01.2020;31.12.2020;359;12;„CASTIG PENTRU TINE”;Sa se inscrie in pagina dedicata concursului de pe www.virginradio.ro cu datele personale + persoana pentru care vrea sa castige + motivul pentru care vrea sa castige pentru persoana numita ;Radio;Formular contact;87,004.47;Premiile pot fi servicii, produse sau bani;Nu;Nu;Nu;Da;Da;Nu;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
17;Food;LIDL DISCOUNT S.R.L;Lidl;“P?rerea ta conteaz?!”;01.03.2020;28.02.2021;365;12;“P?rerea ta conteaz?!”;Se poate înscrie în Campanie orice persoan? care achizi?ioneaz? produse din magazinele LIDL, în Perioada Campaniei, în intervalul orar 07:00:00 - 22:00:00, respectiv pe durata programului de func?ionare a fiec?rui magazin Lidl.;Buy & send;Formular contact;24000;Voucher de 100 RON;Nu;Nu;Nu;Nu;Da;Nu;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
18;Food;Tarsago România S.R.L;Tarsago;CASTIGA O EXCURSIE DE LUX IN VALOARE DE 8.000 EURO!;01.01.2020;17.02.2021;412;14;CASTIGA O EXCURSIE DE LUX IN VALOARE DE 8.000 EURO!;Participarea e condi?ionat? de comandarea produsului;Social contest;Cod unic;46,402.38;Bani ghea??;Nu;Da;Nu;Nu;Nu;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
19;Petrol;Rompetrol Downstream S.R.L;Rompetrol;Reinventeaz?-?i c?l?toriile cu Rompetrol;14.08.2020;20.11.2020;86;4;Reinventeaz?-?i c?l?toriile cu Rompetrol;Adun? punctele bonus autocolante pân? pe 6.11. ?i colec?ioneaz? pân? pe 20.11., cu discount, produsele Tamaris, ideale pentru orice tip de drum.;Acumulare de puncte/ Buy&send;Talon, Bon fiscal;20,764.39;gen?i, troler, p?tur?,borset?, ?al;Nu;Nu;Nu;Da;Da;Da;Da;Da;Da;Nu;Nu;Nu;Nu;;
20;Food;MOGYI ROMÂNIA SRL;Mogyi;„De 20 de ani petrecem împreun?”;01.09.2020;20.12.2020;110;4;„De 20 de ani petrecem împreun?”;S? achizi?ioneze din Magazinele Participante sau Website-urile Participante, in valoare de minimum 5 lei;Buy & send;Bon fiscal;57,302.18;Voucher, cuptor cu microunde, co? cu produse;Nu;Nu;Nu;Nu;Da;Nu;Da;Da;Nu;Nu;Nu;Nu;Nu;;
21;Food;PGM FACILITATORS S.R.L;Haribo;100 Years of Haribo;01.09.2020;30.11.2020;91;3;100 Years of Haribo;Participantul trebuie sa achizitioneze minimum un Produs Participant din gama Haribo (conform sectiunii 4) in perioada Campaniei 100 Years of Haribo si sa poata face dovada de achizitie (bon fiscal sau factura fiscala respectiv factura electronica pentru achizitiile online;Buy & send;Bon fiscal;41,236.00;Surprise Packs, Family packs – tickets (2 adulti si 2 copiii), Petrecere aniversara - Goldbear Party;Nu;Nu;Nu;Nu;Da;Nu;Nu;Da;Nu;Da;Nu;Nu;Nu;;
22;Spray;TEMAD CO SRL;WD-40;"""WD-40 TE TRIMITE LA NEW YORK""";01.09.2020;31.01.2021;152;5;"""WD-40 TE TRIMITE LA NEW YORK""";Pentru a participa la prezenta Campanie promotionala, Participantii trebuie s? completeze formularul electronic de înscriere în concurs disponibil pe site-ul www.excursienewyork.wd40.ro sau prin scanarea codului QR disponibil pe produsele WD-40 cu etichet? promo?ional?:;Buy & send;Formular contact;49,260.00;"Voucher de combustil în valoare de
100 lei - valabil la toate statiile
Rompetrol din Romania, Casti wireless Skulcandy, Trotineta electrica Xiaomi, Voucher excursie la New York – sau
contravaloarea premiului in bani*";Nu;Da;Nu;Da;Da;Da;Nu;Da;Nu;Nu;Nu;Nu;Nu;;
23;Food;FUCHS CONDIMENTE RO S.R.L;Fuchs;„Cosmin, pune gust si ceva in plus”;07.09.2020;18.12.2020;91;4;„Cosmin, pune gust si ceva in plus”;"Participantul achizitioneaza minim unul dintre Produsele Participante (marca „Cosmin”,
conform art. 4.1), in perioada 07 septembrie – 18 decembrie 2020. Pot fi prezente unul sau
mai multe Produse Participante (specificate pe acelasi bon fiscal/ aceeasi factura fiscala)
dar participantul poate înregistra un numar de bon fiscal/ factura fiscala o singura data pe
întreaga perioada a Campaniei.";Buy & send;Bon fiscal;160,719.38;"Cutie cu gama de condimente Cosmin +
manusa de bucatarie, Slow Cooker 7.5L Digital Crock-Pot, Gratar electric Tefal Optigrill + Wafles
GC716D12, 2000 W, Tableta Samsung Galaxy Tab S6 Lite,
Octa-Core, 10.4"", 4GB RAM, 64GB, Wi-Fi,
Angora Blue, Autoturism Dacia Duster PRESTIGE 4x4";Da;Nu;Nu;Da;Da;Da;Da;Da;Da;Nu;Nu;Nu;Nu;;
24;Drinks; STRAUSS ROMANIA S.R.L ;Doncafe;"""LUNA CADOURILOR DONCAFE TINE 3 LUNI!";01.10.2020;31.12.2020;91;3;"""LUNA CADOURILOR DONCAFE TINE 3 LUNI!";"SMS: prin expedierea, in perioada 01.10.2020 - 31.12.2020 (inclusiv), a unui SMS la numarul scurt 1747
(tarif normal, in retelele Orange, Vodafone, Telekom, Digi Mobile)
b) Online: in perioada 01.10.2020 - 31.12.2020 (inclusiv), prin completarea unui formular de inscriere
disponibil la accesarea site-ului doncafe.ro. Participantii vor completa formularul de inscriere";Buy & send;Bon fiscal;316,467.00;Bani ghea??;Nu;Nu;Da;Nu;Nu;Da;Da;Da;Nu;Nu;Nu;Nu;Nu;;
25;Food;DR. OETKER RO S.R.L;Dr. Oetker;„Bucuro?i s? aducem familia în jurul mesei!”;01.10.2020;31.12.2020;91;3;„Bucuro?i s? aducem familia în jurul mesei!”;"a achizitioneze cel putin un produs participant Dr. Oetker ce va fi folosit in prepararea retetei alese si sa se inscrie cu o poza a prajiturii facuta de catre acesta, dupa tematica lunii, impreuna cu produsul participant Dr. Oetker pe care le-a folosit la preparare;sa acceseze pagina https://www.oetker.ro (sectiunea dedicata campaniei) si sa participe la campanie accesand butonul  “Inscrie-te aici” din homepage (pagina de start)
sa incarce o poza cu preparatul realizat  in care sa apara si produsul Dr. Oetker folosit in realizarea prajiturii (in imagine  trebuie sa apara prajitura + ambalajul produsului);";Buy & send;Bon fiscal;97,146.00;Bani ghea??;Nu;Nu;Nu;Nu;Da;Nu;Da;Da;Nu;Nu;Nu;Nu;Nu;;
26;Food;Rompak SRL;Pakmaya;Totul este mai usor cu un pic de ajutor;01.11.2020;31.12.2020;60;2;Totul este mai usor cu un pic de ajutor;"Cump?r? oricare dintre produsele participante în Campanie

Înscrie num?rul
bonului fiscal pe www.maiestrieinbucatarie.ro sau prin SMS* la 1899

Po?i câ?tiga prin tragere la sor?i unul dintre premiile Campaniei – premii mari, premii zilnice sau s?pt?mânale";Buy & send;Bon fiscal;21,126.52;?or? de buc?t?rie, oal?, tigaie, aparat inteligent de g?tire;Nu;Nu;Nu;Da;Da;Da;Da;Da;Nu;Nu;Nu;Nu;Nu;;
